NeighborHood_ID,House_Number
1,1592
1,1634
1,3867
1,5278
1,6195
1,6431
1,6448
1,14018
1,14409
1,14897
1,16593
1,16722
1,19349
1,20884
1,21701
1,22420
1,22954
1,24129
1,24698
1,24883
2,379
2,1562
2,2061
2,2064
2,3395
2,3815
2,4293
2,4540
2,4610
2,5074
2,5412
2,5694
2,6277
2,7012
2,7315
2,7347
2,7611
2,7864
2,7997
2,8112
2,8303
2,8680
2,9517
2,10221
2,10364
2,10931
2,11284
2,11879
2,11914
2,13447
2,13852
2,13907
2,15508
2,15638
2,15808
2,16005
2,17134
2,17522
2,17569
2,17648
2,18010
2,18706
2,18884
2,19718
2,19784
2,20246
2,20542
2,20816
2,21128
2,22396
2,22852
2,22889
2,22913
2,23482
2,24476
2,24798
2,24973
2,25488
3,2242
3,6343
3,18849
4,149
4,15654
4,22176
5,5256
5,7972
5,13770
5,20217
5,20496
5,21964
6,2465
6,2558
6,7926
6,19010
6,20301
6,21416
6,21512
6,21858
6,22985
7,10473
7,12644
7,14327
7,19118
7,20058
7,20314
7,20464
7,21064
7,22101
7,23506
8,355
8,5060
8,5861
8,9923
8,10138
8,10922
8,14470
8,19893
8,22122
9,346
9,656
9,1393
9,1398
9,1490
9,2100
9,2726
9,5850
9,6516
9,7614
9,8600
9,8623
9,8708
9,9494
9,10721
9,11107
9,11534
9,12658
9,12667
9,13060
9,14047
9,15165
9,15245
9,15580
9,16160
9,17740
9,18447
9,18781
9,20162
9,20296
9,20751
9,21018
9,22646
9,22754
9,23318
9,23767
9,24200
9,24293
9,25243
9,25539
9,25605
10,251
10,335
10,395
10,396
10,783
10,1203
10,2691
10,5560
10,8827
10,9331
10,10480
10,11768
10,12560
10,15005
10,17450
10,17543
10,18611
10,18659
10,20035
10,21618
10,21919
10,24338
11,2236
11,3835
11,4592
11,4738
11,5353
11,9008
11,9196
11,9588
11,12950
11,13131
11,13271
11,15636
11,16074
11,16883
11,17025
11,18333
11,18381
11,21334
11,21576
12,389
12,1074
12,2273
12,3991
12,11476
12,13344
12,13820
12,14247
12,15576
12,16887
12,16888
12,16929
12,17105
12,19644
12,21320
12,21635
12,21643
12,23403
12,24857
13,51
13,156
13,167
13,313
13,461
13,804
13,871
13,886
13,1015
13,1061
13,1071
13,1109
13,1116
13,1125
13,1190
13,1419
13,1427
13,1487
13,1689
13,1730
13,2235
13,2333
13,2412
13,2677
13,2690
13,2760
13,2787
13,2797
13,2858
13,2933
13,2953
13,2966
13,3019
13,3053
13,3073
13,3085
13,3155
13,3506
13,3608
13,3700
13,3716
13,3810
13,3910
13,3915
13,3943
13,3961
13,3971
13,4050
13,4095
13,4162
13,4232
13,4239
13,4317
13,4432
13,4512
13,4534
13,4549
13,4628
13,4700
13,4703
13,4710
13,4743
13,4770
13,4902
13,5093
13,5118
13,5211
13,5291
13,5320
13,5349
13,5429
13,5551
13,5572
13,5618
13,5871
13,5970
13,6021
13,6050
13,6139
13,6148
13,6299
13,6309
13,6360
13,6395
13,6454
13,6526
13,6549
13,6627
13,6712
13,6802
13,7008
13,7017
13,7029
13,7092
13,7152
13,7187
13,7228
13,7236
13,7237
13,7294
13,7380
13,7430
13,7463
13,7513
13,7550
13,7581
13,7643
13,7656
13,7730
13,7740
13,7769
13,7772
13,7869
13,7883
13,7899
13,7916
13,7996
13,8009
13,8034
13,8096
13,8135
13,8254
13,8361
13,8428
13,8430
13,8466
13,8494
13,8498
13,8534
13,8613
13,8619
13,8648
13,8671
13,8717
13,8747
13,8748
13,8813
13,8844
13,9013
13,9024
13,9115
13,9130
13,9134
13,9153
13,9211
13,9213
13,9215
13,9220
13,9295
13,9318
13,9363
13,9394
13,9446
13,9523
13,9668
13,9683
13,9739
13,9745
13,9828
13,9879
13,9888
13,10068
13,10214
13,10231
13,10326
13,10425
13,10530
13,10532
13,10540
13,10619
13,10643
13,10739
13,10753
13,10777
13,10787
13,10794
13,10967
13,11082
13,11175
13,11205
13,11387
13,11402
13,11663
13,11747
13,11932
13,12227
13,12291
13,12305
13,12319
13,12373
13,12381
13,12489
13,12677
13,12745
13,12827
13,12867
13,12923
13,12946
13,13167
13,13211
13,13242
13,13434
13,13442
13,13491
13,13540
13,13541
13,13543
13,13551
13,13589
13,13649
13,13682
13,13716
13,13782
13,13844
13,13865
13,13871
13,13952
13,14108
13,14138
13,14202
13,14210
13,14227
13,14274
13,14381
13,14496
13,14634
13,14681
13,14755
13,14768
13,14779
13,14833
13,14893
13,14981
13,14995
13,15255
13,15293
13,15305
13,15320
13,15330
13,15350
13,15357
13,15388
13,15401
13,15447
13,15522
13,15531
13,15542
13,15565
13,15602
13,15656
13,15942
13,15958
13,16114
13,16181
13,16299
13,16325
13,16370
13,16410
13,16436
13,16446
13,16509
13,16560
13,16667
13,16758
13,16810
13,16854
13,16855
13,16868
13,16903
13,16995
13,17007
13,17098
13,17194
13,17283
13,17288
13,17300
13,17315
13,17398
13,17457
13,17468
13,17517
13,17520
13,17642
13,17687
13,17715
13,17804
13,17824
13,17952
13,18173
13,18260
13,18274
13,18276
13,18328
13,18332
13,18405
13,18551
13,18580
13,18640
13,18663
13,18737
13,18748
13,18825
13,18839
13,18988
13,19121
13,19131
13,19226
13,19231
13,19240
13,19325
13,19489
13,19864
13,19929
13,19977
13,19979
13,20097
13,20118
13,20253
13,20336
13,20375
13,20598
13,20616
13,20633
13,20668
13,20738
13,20758
13,20790
13,20791
13,20893
13,20902
13,20912
13,20945
13,21004
13,21057
13,21063
13,21164
13,21190
13,21202
13,21270
13,21273
13,21308
13,21356
13,21362
13,21484
13,21505
13,21506
13,21533
13,21633
13,21634
13,21638
13,21681
13,21729
13,21763
13,21822
13,21833
13,21836
13,21917
13,21949
13,21968
13,21997
13,21999
13,22018
13,22070
13,22203
13,22241
13,22242
13,22268
13,22270
13,22368
13,22390
13,22391
13,22422
13,22466
13,22485
13,22491
13,22516
13,22539
13,22598
13,22630
13,22654
13,22656
13,22660
13,22764
13,22773
13,22819
13,22887
13,22896
13,22955
13,22958
13,22991
13,22994
13,23011
13,23054
13,23140
13,23181
13,23217
13,23271
13,23291
13,23336
13,23356
13,23358
13,23388
13,23420
13,23424
13,23443
13,23463
13,23464
13,23522
13,23523
13,23562
13,23586
13,23649
13,23698
13,23708
13,23711
13,23736
13,23774
13,23780
13,23781
13,23863
13,23886
13,23935
13,23978
13,24023
13,24061
13,24079
13,24148
13,24151
13,24155
13,24160
13,24230
13,24260
13,24277
13,24280
13,24313
13,24497
13,24499
13,24525
13,24540
13,24627
13,24635
13,24680
13,24742
13,24744
13,24846
13,24862
13,25016
13,25094
13,25095
13,25169
13,25360
13,25416
13,25433
13,25457
13,25475
13,25492
13,25509
13,25564
13,25629
14,432
14,434
14,2243
14,2249
14,3348
14,5795
14,7929
14,12405
14,14103
14,20798
15,102
15,459
15,1445
15,2262
15,2332
15,3218
15,4426
15,4437
15,5040
15,5435
15,7856
15,7962
15,9078
15,9256
15,9332
15,9937
15,12513
15,12808
15,14048
15,14064
15,14260
15,15435
15,15973
15,17113
15,18500
15,19000
15,19485
15,19670
15,19839
15,20046
15,20640
15,20688
15,21755
15,21984
15,22995
15,23165
15,24774
16,651
16,654
16,667
16,677
16,722
16,822
16,2506
16,2511
16,2525
16,2529
16,2536
16,2565
16,2566
16,2579
16,2580
16,2586
16,2590
16,2594
16,3244
16,3495
16,3633
16,3681
16,4329
16,4391
16,4438
16,4459
16,4624
16,4826
16,5175
16,5286
16,5348
16,5537
16,5563
16,6103
16,6165
16,6554
16,7388
16,7472
16,7634
16,7733
16,8002
16,8013
16,8019
16,8072
16,8147
16,8300
16,8694
16,10036
16,10223
16,10259
16,10881
16,11214
16,11368
16,11798
16,12077
16,12223
16,12838
16,13292
16,13536
16,14314
16,14764
16,15048
16,17353
16,17900
16,18277
16,18283
16,19254
16,19958
16,20064
16,20818
16,21762
16,21921
16,22043
16,23180
16,23259
16,24188
16,24216
16,24853
17,137
17,2166
17,2241
17,5338
17,5487
17,9320
17,9415
17,9686
17,15839
17,16695
17,17903
17,18424
17,21150
17,21343
17,22584
17,22585
18,1518
18,2683
18,4100
18,4546
18,6638
18,7931
18,8872
18,10028
18,10743
18,12002
18,13010
18,13707
18,13980
18,14063
18,16377
18,17778
18,19095
18,19753
18,19969
18,21394
18,21585
18,25240
18,25575
19,2685
19,3299
19,4761
19,7036
19,12493
19,14789
19,15924
19,17765
20,371
20,374
20,1721
20,2044
20,3804
20,4068
20,4805
20,5549
20,6423
20,6629
20,7048
20,8406
20,9283
20,9431
20,9841
20,10071
20,10087
20,10187
20,11208
20,11864
20,12533
20,13775
20,14372
20,15037
20,16007
20,16885
20,17606
20,18976
20,19264
20,20089
20,20968
20,21399
20,21503
20,21588
20,21693
20,22298
20,23919
20,25013
20,25425
21,8232
21,10125
21,10665
21,12825
21,14507
21,14935
21,18408
21,19983
21,22750
21,24131
22,2315
22,3999
22,5681
22,11925
22,15407
22,20622
22,21883
22,23548
22,25439
23,739
23,17626
24,781
24,3162
24,4475
24,5421
24,5943
24,8331
24,17959
24,18151
25,647
25,650
25,4027
25,4420
25,4648
25,5275
25,5648
25,5932
25,6056
25,6605
25,6713
25,6825
25,6963
25,7068
25,7122
25,7165
25,7320
25,7851
25,8918
25,9376
25,9674
25,9708
25,10264
25,10709
25,10913
25,10937
25,11475
25,11566
25,11941
25,12369
25,12458
25,13097
25,13166
25,13214
25,13353
25,13511
25,13910
25,14012
25,14102
25,14151
25,14190
25,15731
25,15976
25,16605
25,17573
25,17930
25,19459
25,20178
25,22280
25,22634
26,508
26,2477
26,6585
26,8237
26,8711
26,8913
26,10522
26,11734
26,12866
26,14606
26,16815
26,16938
26,17761
26,19695
26,20425
27,430
27,431
27,435
27,2240
27,2259
27,11015
27,16407
27,23979
28,12385
28,13210
28,17929
28,20664
29,6566
29,17907
29,18419
29,19727
29,22281
30,2105
30,8908
30,11757
30,16010
30,19540
30,22748
30,24446
31,9210
32,274
32,287
32,889
32,934
32,989
32,1257
32,1388
32,1635
32,2073
32,2776
32,2876
32,3473
32,4679
32,4872
32,4951
32,5188
32,6184
32,6366
32,6493
32,6951
32,7646
32,7731
32,7739
32,7741
32,7792
32,8351
32,8368
32,8547
32,8796
32,8878
32,9344
32,9436
32,9673
32,10232
32,10295
32,10424
32,10523
32,10580
32,10837
32,10858
32,11070
32,11527
32,11533
32,11593
32,11721
32,11787
32,11797
32,11878
32,11991
32,12113
32,12436
32,12587
32,12884
32,12911
32,12986
32,13188
32,13227
32,13258
32,13546
32,13703
32,13983
32,14211
32,14341
32,14843
32,14920
32,14996
32,15064
32,15179
32,15696
32,16118
32,16122
32,16207
32,16298
32,16301
32,16316
32,16330
32,16368
32,16371
32,16411
32,16748
32,16761
32,16783
32,17000
32,17141
32,17195
32,17341
32,17681
32,17800
32,18193
32,18645
32,18780
32,19041
32,19152
32,19173
32,19810
32,19836
32,19943
32,19965
32,20042
32,20198
32,20228
32,20345
32,20380
32,20396
32,20631
32,20735
32,21048
32,21166
32,21199
32,21229
32,21259
32,21274
32,21330
32,21377
32,21409
32,21499
32,21710
32,21726
32,21802
32,21906
32,22106
32,22161
32,22199
32,22308
32,22309
32,22313
32,22335
32,22336
32,22338
32,22392
32,22475
32,22596
32,22651
32,22714
32,22911
32,22961
32,22962
32,22987
32,23044
32,23104
32,23131
32,23152
32,23214
32,23293
32,23393
32,23419
32,23483
32,23512
32,23669
32,23706
32,23733
32,23734
32,23897
32,23990
32,24024
32,24025
32,24060
32,24152
32,24158
32,24159
32,24227
32,24266
32,24267
32,24345
32,24449
32,24451
32,24559
32,24662
32,24697
32,24700
32,24708
32,24739
32,24745
32,24893
32,24902
32,25000
32,25189
32,25222
32,25336
32,25351
32,25366
32,25422
32,25516
32,25568
33,7075
33,7170
33,8881
33,12583
33,14532
33,14684
33,17130
33,18757
33,18992
33,21197
33,24212
34,9960
34,12432
34,16063
35,2538
35,11557
35,22806
35,23977
35,25017
36,339
36,2004
36,4912
36,6167
36,7957
36,10113
36,10602
36,12795
36,12806
36,14596
36,17241
36,20101
36,22095
36,25110
37,298
37,493
37,836
37,925
37,929
37,970
37,1668
37,1862
